,Latitude,Longitude,Name,Last_Reading
63,51.04130620199642,13.797684162855148,DLR_School_Lab TU Dresden,2022-03-30T11:25:43.215Z
64,51.209631,6.780656,GarageLab e.V.,2022-03-30T11:25:43.215Z
65,52.389410474862544,13.078622817993164,fablab2,2022-03-30T11:25:43.216Z
66,38.72268842184987,-9.148640066396183,Devseed LX,2022-03-30T11:25:43.216Z
67,51.974581,7.607807,Balkon Gasselstiege,2022-03-30T11:25:43.216Z
68,51.970996,7.62552,wullewup,2022-03-30T11:25:43.216Z
69,51.710172,7.542168,Südkirchen,2022-06-25T10:44:17.004Z
70,52.386392,13.098047,HPI Maker Klub - http://HPIMakerKlub.github.io/,2022-03-30T11:25:43.217Z
71,49.230635,7.010002,DFKI,2022-03-30T11:25:43.217Z
72,47.716068,9.388242,Toolbox Bodensee e.V. - Beta,2022-03-30T11:25:43.217Z
73,52.02701984843323,8.896345579996705,box_1,2022-03-30T11:25:43.218Z
74,51.96806404296131,7.56349772217618,Wetterdöschen,2022-03-30T11:25:43.218Z
75,52.339194,9.841261,Vogelhaus,2022-03-30T11:25:43.218Z
76,51.166656,13.478615,Robobox,2022-03-30T11:25:43.218Z
77,51.962372,7.64568,Oststr/Mauritzsteinpfad,2022-03-30T11:25:43.219Z
78,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,2022-12-27T09:32:41.231Z
79,51.976527,7.586553,senseBox_wifi_Yun,2022-03-30T11:25:43.219Z
80,48.62381067602107,8.735395073672407,BOBF (border of black forest),2022-03-30T11:25:43.220Z
81,53.498232,10.002463,LGV senseBox:edu,2022-03-30T11:25:43.221Z
82,48.10678642171616,11.537130642682314,itfg2,2022-03-30T11:25:43.221Z
83,48.10450101659603,11.573372650891542,indoor,2022-03-30T11:25:43.222Z
84,51.90957000274839,7.655904293060302,KlimaNet 00001,2022-03-30T11:25:43.222Z
85,51.944271492580334,7.63871669769287,Hawerkamp 31,2022-03-30T11:25:43.222Z
86,51.660264,9.391277,emp-wetter,2023-06-12T06:28:27.018Z
87,52.010734670952026,8.916494250297546,Klimastation Lemgo-Brake,2022-03-30T11:25:43.223Z
88,48.10442937215959,11.573080206289887,Balkon,2022-03-30T11:25:43.224Z
